nCount_RNA,nFeature_RNA,SORT,nCount_SCT,nFeature_SCT,nCount_Exon,nFeature_Exon,sex_ontology_term_id,sex,Label_0,Label_1,Label_2,Label_3
6215.0,2954,2,5586.0,2953,3480.0,1883,0,0,1,0,0,0
8002.0,3624,2,5941.0,3572,4467.0,2414,1,1,0,0,1,0
3516.0,1908,1,4147.0,1909,1528.0,885,1,1,0,0,0,1
4637.0,2398,2,4756.0,2398,1676.0,1012,0,0,0,0,1,0
14447.0,4618,2,10745.0,4546,3239.0,1929,1,1,0,1,0,0
13676.0,4947,2,10894.0,4919,4851.0,2760,1,1,0,1,0,0
2077.0,1384,2,8207.0,2526,662.0,508,0,0,0,0,1,0
638.0,519,2,3801.0,1245,231.0,191,1,1,0,0,1,0
6108.0,2894,2,8900.0,2934,1855.0,1275,1,1,0,1,0,0
1797.0,1295,0,3745.0,1407,843.0,719,1,1,0,0,0,1
2943.0,1790,2,4231.0,1806,1705.0,1181,1,1,0,0,1,0
3992.0,2311,2,4409.0,2311,1879.0,1335,0,0,0,0,1,0
15425.0,4728,2,10785.0,4579,3004.0,1929,1,1,0,1,0,0
7356.0,3101,2,9025.0,3105,1592.0,1168,0,0,0,0,1,0
9745.0,4117,2,6138.0,3820,3318.0,2036,1,1,0,0,1,0
8894.0,3714,1,5601.0,3444,4727.0,2293,0,0,0,0,0,1
11896.0,4620,0,5298.0,3178,6943.0,3199,0,0,0,0,0,1
3861.0,2452,2,4319.0,2452,2094.0,1488,1,1,0,0,1,0
1231.0,936,1,3408.0,1214,452.0,381,1,1,0,0,0,1
17316.0,5131,2,10779.0,4830,4314.0,2472,0,0,0,0,1,0
2934.0,1772,1,3906.0,1777,1688.0,1119,0,0,0,0,0,1
10958.0,4051,2,10409.0,4051,3294.0,1961,1,1,0,1,0,0
6217.0,3042,0,5232.0,3033,3465.0,1884,0,0,0,0,0,1
4670.0,2218,2,9036.0,2429,1116.0,790,1,1,0,1,0,0
9691.0,4064,0,5446.0,3337,5133.0,2527,0,0,0,0,0,1
2315.0,1439,2,4714.0,1553,1001.0,634,1,1,0,0,1,0
4652.0,2432,1,4657.0,2432,2110.0,1337,1,1,0,0,0,1
1564.0,1112,2,3907.0,1362,533.0,451,1,1,0,0,1,0
13383.0,5115,0,4889.0,2896,8802.0,3837,0,0,0,0,0,1
964.0,728,2,3728.0,1244,363.0,296,1,1,0,0,1,0
5520.0,2695,2,5345.0,2695,2223.0,1364,0,0,0,0,1,0
9724.0,3500,2,9734.0,3500,1856.0,1255,1,1,0,1,0,0
14871.0,4700,2,5352.0,2971,7407.0,2968,0,0,1,0,0,0
11370.0,3811,2,5630.0,3136,4877.0,1930,0,0,1,0,0,0
4787.0,2776,2,4810.0,2775,3700.0,2218,1,1,0,0,1,0
2524.0,1685,2,4125.0,1738,1151.0,926,0,0,0,0,1,0
3038.0,1908,2,4186.0,1918,1430.0,1045,0,0,0,0,1,0
7490.0,3089,1,5493.0,3026,2648.0,1405,1,1,0,0,0,1
8179.0,3223,1,5373.0,3059,3659.0,1480,0,0,0,0,0,1
